SITENAME,BCF-Sector,Solution Type,Site Type,Blended Congestion,Lat,Lon,Town,Province,ACL,Azimuth,Beam Width,Length
MANOLO,MANOLO-2,MACRO,MACRO,AMBER,8.365562,124.861567,BUKIDNON,MANOLO FORTICH,50,40,40,200
MARAMA,MARAMA-3,MACRO,MACRO,AMBER,7.757818,125.004897,BUKIDNON,MARAMAG,49,315,40,200
POB1ISBELABAS,POB1ISBELABAS-1,MACRO,MACRO,AMBER,6.70508,121.971,BASILAN,ISABELA CITY,32,350,40,200
CABANG,CABANG-3,MACRO,MACRO,AMBER,8.076636,125.297374,BUKIDNON,CABANGLASAN,45,220,40,200
HILLMANBRGY3DAPASDN,HILLMANBRGY3DAPASDN-2,MACRO,MACRO,AMBER,9.761764,126.053645,SURIGAO DEL NORTE,DAPA,28,175,40,200
LABUAN,LABUAN-1,MACRO,MACRO,GREEN,7.097856,121.903092,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,39,10,40,200
CAWA2,CAWA2-3,MACRO,MACRO,AMBER,6.909186,122.063608,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,27,300,40,200
GUSU,GUSU-2,MACRO,MACRO,AMBER,6.919461,122.05112,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,36,70,40,200
GUSU,GUSU-3,MACRO,MACRO,AMBER,6.919461,122.05112,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,36,225,40,200
LANTAKA,LANTAKA-2,MACRO,MACRO,GREEN,6.902793,122.07832,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,24,300,40,200
TALON2ZDS,TALON2ZDS-2,MACRO,MACRO,AMBER,6.910158,122.115745,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,38,170,40,200
TETUAN,TETUAN-1,MACRO,MACRO,GREEN,6.918393,122.0855,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,36,80,40,200
BAUYA,BAUYA-2,MACRO,MACRO,AMBER,7.729833,123.784202,LANAO DEL NORTE,SULTAN NAGA DIMAPORO,39,140,40,200
HILLMANBRGY3DAPASDN,HILLMANBRGY3DAPASDN-3,MACRO,MACRO,AMBER,9.761764,126.053645,SURIGAO DEL NORTE,DAPA,28,270,40,200
LABASO,LABASO-2,MACRO,MACRO,GREEN,8.068342,122.521832,ZAMBOANGA DEL NORTE,LABASON,41,190,40,200
LABASO,LABASO-3,MACRO,MACRO,AMBER,8.068342,122.521832,ZAMBOANGA DEL NORTE,LABASON,41,265,40,200
DIPOLO,DIPOLO-3,MACRO,MACRO,AMBER,8.58385,123.34319,ZAMBOANGA DEL NORTE,DIPOLOG CITY (CAPITAL),39,190,40,200
GRANDE,GRANDE-2,MACRO,MACRO,GREEN,6.913585,122.052805,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,12,150,40,200
GUSU,GUSU-1,MACRO,MACRO,GREEN,6.919461,122.05112,ZAMBOANGA DEL SUR,ZAMBOANGA CITY,36,330,40,200
MANOLO,MANOLO-1,MACRO,MACRO,AMBER,8.365562,124.861567,BUKIDNON,MANOLO FORTICH,50,300,40,200
SANTONGENSAN,SANTONGENSAN-2,MACRO,MACRO,AMBER,6.133701,125.130657,SOUTH COTABATO,GENERAL SANTOS CITY,40,130,40,200
SENARESTAGANASDN,SENARESTAGANASDN-3,MACRO,MACRO,AMBER,9.693443,125.582851,SURIGAO DEL NORTE,TAGANA-AN,48,210,40,200
TAGLATAWAN,TAGLATAWAN-2,MACRO,MACRO,AMBER,8.714096,125.759478,AGUSAN DEL SUR,BAYUGAN CITY,40,185,40,200
TUNGAW,TUNGAW-2,MACRO,MACRO,AMBER,7.601745,122.420672,ZAMBOANGA SIBUGAY,TUNGAWAN,39,115,40,200
SMCDOOD,SMCDOOD-2,MACRO,MACRO,GREEN,8.45699,124.622435,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (CAPITAL),17,150,40,200
TCPHT1BULUACDOMOR,TCPHT1BULUACDOMOR-1,MACRO,MACRO,GREEN,8.505229,124.611192,MISAMIS ORIENTAL,CAGAYAN DE ORO CITY (CAPITAL),36,320,40,200
CAMPBAUTISTA,CAMPBAUTISTA-3,LEGO,MACRO,GREEN,6.056303,121.011509,SULU,JOLO (CAPITAL),40,240,40,200
